household_id,SAMPN,HH_ZONE_ID,HH_WEIGHT,HH_SIZE,HH_VEH,HH_WORKERS
1267,1267,505,,4,2,1
1268,1268,480,,3,0,1
1269,1269,505,,1,1,1
1271,1271,505,,1,0,1
1273,1273,505,,2,5,1
1274,1274,505,,2,2,2
1275,1275,483,,4,0,3
1276,1276,505,,1,4,1
1280,1280,505,,1,1,1
1281,1281,480,,1,0,1
1282,1282,480,,3,0,3
1283,1283,480,,4,0,4
1284,1284,480,,2,0,2
1285,1285,480,,2,1,2
1286,1286,480,,3,1,2
1287,1287,480,,3,1,1
1288,1288,480,,2,1,2
1289,1289,480,,1,2,1
1291,1291,480,,2,0,2
1292,1292,480,,1,1,1
1293,1293,480,,2,0,1
1294,1294,480,,2,0,2
1295,1295,480,,2,2,1
1296,1296,638,,6,0,6
1297,1297,480,,2,0,2
1298,1298,483,,1,0,1
1299,1299,480,,3,0,3
1300,1300,480,,2,0,2
1301,1301,480,,4,0,1
1302,1302,480,,6,2,3
1303,1303,480,,4,1,1
1304,1304,480,,1,1,1
1305,1305,480,,3,0,1
1306,1306,480,,10,2,3
1307,1307,505,,6,4,2
1308,1308,505,,1,1,1
1310,1310,505,,3,2,3
1311,1311,503,,4,1,4
1312,1312,483,,4,0,4
1313,1313,480,,3,1,2
1314,1314,480,,4,1,3
1315,1315,480,,4,2,1
1316,1316,892,,2,1,1
1317,1317,892,,4,2,1
1318,1318,892,,2,1,2
1319,1319,892,,3,2,1
1320,1320,892,,2,1,1
1321,1321,834,,1,0,1
1322,1322,834,,1,1,1
1323,1323,834,,2,0,2
1324,1324,834,,1,0,1
1325,1325,834,,1,1,1
1326,1326,834,,2,1,1
1327,1327,835,,2,1,1
1328,1328,835,,1,0,1
1329,1329,835,,1,1,1
1330,1330,835,,5,1,5
1331,1331,834,,1,2,1
1333,1333,835,,1,1,1
1334,1334,834,,1,1,1
1335,1335,834,,2,0,2
1336,1336,834,,2,0,1
1337,1337,834,,1,0,1
1338,1338,834,,5,1,2
1339,1339,505,,1,1,1
1340,1340,892,,3,1,2
1341,1341,892,,1,2,1
1343,1343,834,,1,1,1
1345,1345,835,,1,0,1
1346,1346,892,,6,1,2
1347,1347,483,,1,2,1
1348,1348,892,,1,1,1
1350,1350,892,,4,4,2
