trip_id,SAMPN,PERNO,PLANO,TRIP_WEIGHT,TAZ,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,DEP_HR,DEP_MIN,ARR_HR,ARR_MIN,DRIVER,DRIVER,TOLL_NO,TOLL_NO,TOTTR,TOTTR_NEXT,HHMEM,PER1,PER2,PER3,PER4,PER5,PER6
1,8593,1,1,173.26423378094572,111,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,30,8,15,2,2,2,2,0,0,0,,,,,,
2,8593,1,2,173.26423378094572,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,17,0,18,0,2,2,2,2,0,0,0,,,,,,
3,4099,2,1,40.323787432679495,27,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,11,0,11,10,2,2,2,2,0,0,0,,,,,,
4,4099,2,2,40.323787432679495,29,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,23,0,23,10,2,2,2,2,0,0,0,,,,,,
5,4082,3,1,158.86476154919578,30,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,9,0,9,10,2,2,2,2,0,0,0,,,,,,
6,4082,3,2,158.86476154919578,31,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,18,0,18,10,2,2,2,2,0,0,0,,,,,,
7,8595,1,2,261.7864504617561,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,0,20,0,2,2,2,2,0,0,0,,,,,,
8,8595,2,1,261.7864504617561,5001,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,7,20,2,2,2,2,0,0,0,,,,,,
9,8595,2,2,261.7864504617561,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,0,20,0,2,2,2,2,0,0,0,,,,,,
10,8595,3,1,261.7864504617561,5001,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,7,20,2,2,2,2,0,0,0,,,,,,
11,4083,1,1,158.86476154919578,30,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,8,0,8,10,2,2,2,2,0,0,0,,,,,,
12,4083,1,2,158.86476154919578,30,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,16,0,16,11,2,2,2,2,0,0,0,,,,,,
13,8593,2,1,251.46234897681487,111,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,30,8,15,2,2,2,2,0,0,0,,,,,,
14,8593,2,2,251.46234897681487,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,17,0,18,0,2,2,2,2,0,0,0,,,,,,
15,8593,4,1,251.46234897681487,111,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,30,8,15,2,2,2,2,0,0,0,,,,,,
16,8593,4,2,251.46234897681487,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,17,0,18,0,2,2,2,2,0,0,0,,,,,,
17,8594,2,1,251.46234897681487,5001,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,6,15,7,30,2,2,2,2,0,0,0,,,,,,
18,8594,2,2,251.46234897681487,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,17,0,18,15,2,2,2,2,0,0,0,,,,,,
19,8594,3,1,251.46234897681487,5001,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,6,15,7,30,2,2,2,2,0,0,0,,,,,,
20,8594,3,2,251.46234897681487,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,17,0,18,0,2,2,2,2,0,0,0,,,,,,
21,8595,1,1,261.7864504617561,5001,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,7,20,2,2,2,2,0,0,0,,,,,,
22,4099,3,1,205.90137532726555,29,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,11,0,11,10,2,2,2,2,0,0,0,,,,,,
23,4099,3,2,205.90137532726555,29,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,23,0,23,10,2,2,2,2,0,0,0,,,,,,
24,4099,4,1,40.323787432679495,27,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,11,0,11,10,2,2,2,2,0,0,0,,,,,,
25,4099,4,2,40.323787432679495,29,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,23,0,23,10,2,2,2,2,0,0,0,,,,,,
26,8595,3,2,261.7864504617561,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,0,20,0,2,2,2,2,0,0,0,,,,,,
27,8595,4,1,261.7864504617561,5001,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,7,20,2,2,2,2,0,0,0,,,,,,
28,8595,4,2,261.7864504617561,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,0,20,0,2,2,2,2,0,0,0,,,,,,
29,4314,1,1,42.75724005457478,167,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,8,30,9,0,2,2,2,2,0,0,0,,,,,,
30,4314,1,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,21,0,21,30,2,2,2,2,0,0,0,,,,,,
31,4314,2,1,42.75724005457478,167,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,8,30,9,0,2,2,2,2,0,0,0,,,,,,
