trip_id,SAMPN,PERNO,PLANO,TRIP_WEIGHT,TAZ,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,TPURP,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,DEP_HR,DEP_MIN,ARR_HR,ARR_MIN,DRIVER,DRIVER,TOLL_NO,TOLL_NO,TOTTR,TOTTR_NEXT,HHMEM,PER1,PER2,PER3,PER4,PER5,PER6
32,4314,2,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,21,1,21,30,2,2,2,2,0,0,0,,,,,,
33,4314,3,1,42.75724005457478,167,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,8,30,9,0,2,2,2,2,0,0,0,,,,,,
34,4314,3,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,21,1,21,30,2,2,2,2,0,0,0,,,,,,
35,4314,5,1,42.75724005457478,167,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,8,30,9,0,2,2,2,2,0,0,0,,,,,,
36,4560,2,1,63.123395607753416,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,7,0,7,45,2,2,2,2,0,0,0,,,,,,
37,4560,2,2,63.123395607753416,291,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,13,0,13,30,2,2,2,2,0,0,0,,,,,,
38,4560,4,1,291.15960242092,195,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,8,0,8,50,2,2,2,2,0,0,0,,,,,,
39,4312,1,1,42.75724005457478,168,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,45,7,0,2,2,2,2,0,0,0,,,,,,
40,4312,1,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,12,0,12,0,2,2,2,2,0,0,0,,,,,,
41,4312,2,1,42.75724005457478,168,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,45,7,0,2,2,2,2,0,0,0,,,,,,
42,4312,2,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,12,0,12,15,2,2,2,2,0,0,0,,,,,,
43,8590,1,2,261.7864504617561,344,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,17,0,18,0,2,2,2,2,0,0,0,,,,,,
44,8590,2,1,261.7864504617561,5001,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,6,0,7,0,2,2,2,2,0,0,0,,,,,,
45,8590,2,2,261.7864504617561,344,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,17,0,18,0,2,2,2,2,0,0,0,,,,,,
46,8591,3,2,251.46234897681487,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,18,0,19,0,2,2,2,2,0,0,0,,,,,,
47,8591,4,1,251.46234897681487,730,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,0,8,0,2,2,2,2,0,0,0,,,,,,
48,4556,2,4,302.904732749584,291,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,20,40,20,45,2,2,2,2,0,0,0,,,,,,
49,4556,3,1,215.73716498817907,241,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,8,30,9,0,2,2,2,2,0,0,0,,,,,,
50,4556,3,2,215.73716498817907,291,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,16,0,16,30,2,2,2,2,0,0,0,,,,,,
51,4556,4,1,142.680144977312,373,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,9,30,10,0,2,2,2,2,0,0,0,,,,,,
52,4556,4,2,142.680144977312,291,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,18,0,18,30,2,2,2,2,0,0,0,,,,,,
53,4557,1,1,101.44807138653978,288,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,16,0,16,15,2,2,2,2,0,0,0,,,,,,
54,4557,1,2,101.44807138653978,291,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,19,0,19,15,2,2,2,2,0,0,0,,,,,,
55,4557,2,1,291.15960242092,184,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,7,30,8,0,2,2,2,2,0,0,0,,,,,,
56,4557,2,2,291.15960242092,291,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,17,0,17,45,2,2,2,2,0,0,0,,,,,,
57,4557,3,1,172.9916038900932,645,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,9,0,10,0,2,2,2,2,0,0,0,,,,,,
58,4314,5,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,21,0,21,30,2,2,2,2,0,0,0,,,,,,
59,4314,6,1,42.75724005457478,167,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,8,30,9,0,2,2,2,2,0,0,0,,,,,,
60,4314,6,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,21,0,21,30,2,2,2,2,0,0,0,,,,,,
61,4314,7,1,42.75724005457478,167,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,8,30,9,0,2,2,2,2,0,0,0,,,,,,
62,4314,7,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,21,0,21,30,2,2,2,2,0,0,0,,,,,,
63,4557,5,2,277.79633024647643,291,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,16,0,16,30,2,2,2,2,0,0,0,,,,,,
64,4557,5,3,277.79633024647643,291,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,18,0,18,10,2,2,2,2,0,0,0,,,,,,
65,4557,5,4,277.79633024647643,291,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,18,30,20,40,2,2,2,2,0,0,0,,,,,,
66,4558,1,1,127.52752176699391,323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,30,8,0,1,1,2,2,0,0,0,,,,,,
67,4558,1,2,127.52752176699391,291,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,16,0,16,30,1,1,2,2,0,0,0,,,,,,
68,4558,3,1,306.2567538573622,133,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,9,30,10,0,2,2,2,2,0,0,0,,,,,,
69,4558,3,2,306.2567538573622,291,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,17,0,17,30,2,2,2,2,0,0,0,,,,,,
70,4558,3,3,306.2567538573622,291,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,20,0,20,7,2,2,2,2,0,0,0,,,,,,
71,4558,3,4,306.2567538573622,291,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,20,15,20,22,2,2,2,2,0,0,0,,,,,,
72,4558,4,1,55.93333842464115,288,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,7,30,8,0,2,2,2,2,0,0,0,,,,,,
73,4558,4,2,55.93333842464115,291,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,13,0,13,35,2,2,2,2,0,0,0,,,,,,
74,4558,4,3,55.93333842464115,291,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,16,0,16,15,2,2,2,2,0,0,0,,,,,,
75,4558,4,4,55.93333842464115,291,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,18,0,18,15,2,2,2,2,0,0,0,,,,,,
76,4558,4,5,55.93333842464115,291,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,21,0,21,10,2,2,2,2,0,0,0,,,,,,
77,4558,4,6,55.93333842464115,291,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,21,20,21,27,2,2,2,2,0,0,0,,,,,,
78,4558,5,1,248.40657426124412,89,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,9,0,10,0,2,2,2,2,0,0,0,,,,,,
79,4558,5,2,248.40657426124412,291,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,18,0,19,0,2,2,2,2,0,0,0,,,,,,
80,8591,4,2,251.46234897681487,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,18,0,19,0,2,2,2,2,0,0,0,,,,,,
81,8592,2,1,251.46234897681487,856,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,6,30,7,0,2,2,2,2,0,0,0,,,,,,
82,8592,2,2,251.46234897681487,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,30,21,0,2,2,2,2,0,0,0,,,,,,
83,8592,3,1,251.46234897681487,856,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,30,8,0,2,2,2,2,0,0,0,,,,,,
84,8592,3,2,251.46234897681487,344,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,30,21,0,2,2,2,2,0,0,0,,,,,,
85,4312,3,1,42.75724005457478,168,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,45,7,0,2,2,2,2,0,0,0,,,,,,
86,4082,1,1,133.9730301162925,30,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,9,0,10,0,2,2,2,2,0,0,0,,,,,,
87,4082,1,2,133.9730301162925,31,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,18,1,18,10,2,2,2,2,0,0,0,,,,,,
88,4082,2,1,158.86476154919578,30,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,9,0,9,10,2,2,2,2,0,0,0,,,,,,
89,4082,2,2,158.86476154919578,31,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,18,0,18,10,2,2,2,2,0,0,0,,,,,,
90,4649,1,1,312.8989247302815,647,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,8,0,2,2,2,2,0,0,0,,,,,,
91,4649,1,2,312.8989247302815,144,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,0,20,0,2,2,2,2,0,0,0,,,,,,
92,4649,2,1,312.8989247302815,647,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,8,0,2,2,2,2,0,0,0,,,,,,
93,4649,2,2,312.8989247302815,144,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,0,20,0,2,2,2,2,0,0,0,,,,,,
94,4649,3,1,312.8989247302815,647,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,8,0,2,2,2,2,0,0,0,,,,,,
95,4649,3,2,312.8989247302815,144,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,0,20,0,2,2,2,2,0,0,0,,,,,,
96,4649,5,1,312.8989247302815,647,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,8,0,2,2,2,2,0,0,0,,,,,,
97,4649,5,2,312.8989247302815,144,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,0,20,0,2,2,2,2,0,0,0,,,,,,
98,4649,6,1,312.8989247302815,647,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,8,0,2,2,2,2,0,0,0,,,,,,
99,4649,6,2,312.8989247302815,144,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,19,0,20,0,2,2,2,2,0,0,0,,,,,,
100,4651,1,1,334.82428059911643,144,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,50,7,0,2,2,2,2,0,0,0,,,,,,
101,4651,1,2,334.82428059911643,144,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,22,0,22,10,2,2,2,2,0,0,0,,,,,,
102,4651,2,1,334.82428059911643,144,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,50,7,0,2,2,2,2,0,0,0,,,,,,
103,4651,2,2,334.82428059911643,144,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,22,0,22,10,2,2,2,2,0,0,0,,,,,,
104,4651,3,1,282.3623249796675,144,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,50,7,0,2,2,2,2,0,0,0,,,,,,
105,4651,3,2,282.3623249796675,144,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,22,0,22,10,2,2,2,2,0,0,0,,,,,,
106,4651,4,1,334.82428059911643,144,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,50,7,0,2,2,2,2,0,0,0,,,,,,
107,4651,4,2,334.82428059911643,144,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,22,0,22,10,2,2,2,2,0,0,0,,,,,,
108,4651,5,1,334.82428059911643,144,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,50,7,0,2,2,2,2,0,0,0,,,,,,
109,4651,5,2,334.82428059911643,144,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,22,0,22,10,2,2,2,2,0,0,0,,,,,,
110,4651,7,1,282.3623249796675,144,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,50,7,0,2,2,2,2,0,0,0,,,,,,
111,4314,9,1,42.75724005457478,167,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,8,30,9,0,2,2,2,2,0,0,0,,,,,,
112,4314,9,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,21,1,21,30,2,2,2,2,0,0,0,,,,,,
113,4560,4,2,291.15960242092,291,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,17,0,18,0,2,2,2,2,0,0,0,,,,,,
114,4560,5,1,69.66139095040477,325,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,7,0,8,45,2,2,2,2,0,0,0,,,,,,
115,4560,5,2,69.66139095040477,291,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,13,0,13,30,2,2,2,2,0,0,0,,,,,,
116,4560,6,1,277.79633024647643,1,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,12,0,12,30,2,2,2,2,0,0,0,,,,,,
117,4560,6,2,277.79633024647643,291,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,15,0,15,31,2,2,2,2,0,0,0,,,,,,
118,4312,3,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,12,0,12,15,2,2,2,2,0,0,0,,,,,,
119,4312,4,1,42.75724005457478,168,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,45,7,0,2,2,2,2,0,0,0,,,,,,
120,4312,4,2,42.75724005457478,168,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,12,0,12,15,2,2,2,2,0,0,0,,,,,,
121,4312,5,1,36.05782020921741,168,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,45,7,0,2,2,2,2,0,0,0,,,,,,
122,4312,5,2,36.05782020921741,168,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,12,0,12,15,2,2,2,2,0,0,0,,,,,,
123,4559,1,1,90.91497519464994,503,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,8,0,2,2,2,2,0,0,0,,,,,,
124,4559,1,2,90.91497519464994,291,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,17,0,18,0,2,2,2,2,0,0,0,,,,,,
125,4559,2,1,169.65884612239233,503,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,7,0,8,0,2,2,2,2,0,0,0,,,,,,
126,4559,2,2,169.65884612239233,291,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,17,0,18,0,2,2,2,2,0,0,0,,,,,,
127,4559,2,3,169.65884612239233,291,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,20,0,20,5,2,2,2,2,0,0,0,,,,,,
128,3597,3,2,319.99271438468844,324,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,17,0,17,30,1,1,2,2,0,0,0,,,,,,
129,3597,4,1,183.6791731771588,321,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,16,0,16,15,2,2,2,2,0,0,0,,,,,,
130,3597,4,2,183.6791731771588,324,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,18,0,18,20,2,2,2,2,0,0,0,,,,,,
131,3597,5,1,23.271657334328864,326,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,7,30,7,45,2,2,2,2,0,0,0,,,,,,
132,3597,5,2,23.271657334328864,324,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,13,0,13,17,2,2,2,2,0,0,0,,,,,,
133,3597,5,3,23.271657334328864,323,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,16,0,16,10,2,2,2,2,0,0,0,,,,,,
134,3597,5,4,23.271657334328864,324,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,17,30,17,40,2,2,2,2,0,0,0,,,,,,
135,3597,6,1,23.271657334328864,326,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,7,30,7,45,2,2,2,2,0,0,0,,,,,,
136,3597,6,2,23.271657334328864,324,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,13,0,13,17,2,2,2,2,0,0,0,,,,,,
137,3597,6,3,23.271657334328864,323,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,16,30,16,40,2,2,2,2,0,0,0,,,,,,
138,3597,6,4,23.271657334328864,324,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,17,0,17,10,2,2,2,2,0,0,0,,,,,,
139,3597,7,1,36.101440601681446,326,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,7,30,7,45,2,2,2,2,0,0,0,,,,,,
140,3597,7,2,36.101440601681446,324,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,13,0,13,17,2,2,2,2,0,0,0,,,,,,
141,3597,7,3,36.101440601681446,323,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,16,30,16,40,2,2,2,2,0,0,0,,,,,,
142,3597,7,4,36.101440601681446,324,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,17,30,17,40,2,2,2,2,0,0,0,,,,,,
143,5004,1,1,120.61405795093586,823,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,7,0,8,0,1,1,2,2,2,0,1,3,4,,,,
144,5004,1,2,120.61405795093586,523,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,16,0,17,0,1,1,2,2,2,2,1,3,4,,,,
145,5004,1,3,120.61405795093586,777,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,19,0,19,30,1,1,2,2,1,2,0,2,,,,,
146,5004,1,4,120.61405795093586,777,10,10,10,10,10,10,10,10,10,10,10,2,2,2,2,2,2,2,2,2,2,2,21,0,21,15,1,1,2,2,1,1,0,2,,,,,
147,5004,1,5,120.61405795093586,730,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,21,25,21,40,1,1,2,2,1,1,0,2,,,,,
148,5004,1,6,120.61405795093586,523,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,23,0,23,45,1,1,2,2,0,1,0,,,,,,
