person_id,SAMPN,PERNO,STAZ,WTAZ,PER_WEIGHT,STUDE,STUDE,STUDE,SCHOL,SCHOL,SCHOL,SCHOL,SCHOL,SCHOL,SCHOL,SCHOL,SCHOL,EMPLY,EMPLY,EMPLY,EMPLY,AGE,PER_GENDER,PER_GENDER,EMPLY_LOC_TYPE,EMPLY_LOC_TYPE,EMPLY_LOC_TYPE,EMPLY_LOC_TYPE
1,1001,1,-9,834,213.4262375511941,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,37,1,1,1,1,1,1
2,1001,2,-9,-9,1.0,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,31,2,2,2,2,2,2
3,1001,3,-9,-9,1.0,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,31,1,1,2,2,2,2
4,1003,1,-9,0,219.654457635972,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,30,1,1,1,1,1,1
5,1003,2,-9,-9,63.258300649292366,3,3,3,0,0,0,0,0,0,0,0,0,4,4,4,4,28,2,2,0,0,0,0
6,1003,3,-9,-9,1.0,3,3,3,0,0,0,0,0,0,0,0,0,4,4,4,4,1,2,2,0,0,0,0
7,1004,1,39008,-9,36.02305188496535,2,2,2,7,7,7,7,7,7,7,7,7,4,4,4,4,20,1,1,0,0,0,0
8,1004,2,39008,-9,36.02305188496535,2,2,2,7,7,7,7,7,7,7,7,7,4,4,4,4,20,1,1,0,0,0,0
9,1004,3,39008,-9,36.02305188496535,2,2,2,7,7,7,7,7,7,7,7,7,4,4,4,4,20,1,1,0,0,0,0
10,1004,4,39008,-9,36.02305188496535,2,2,2,7,7,7,7,7,7,7,7,7,4,4,4,4,20,1,1,0,0,0,0
11,1004,5,-9,-9,1.0,2,2,2,7,7,7,7,7,7,7,7,7,4,4,4,4,19,1,1,0,0,0,0
12,1004,6,-9,-9,1.0,2,2,2,7,7,7,7,7,7,7,7,7,4,4,4,4,21,1,1,0,0,0,0
13,1007,1,-9,-9,36.02305188496535,2,2,2,8,8,8,8,8,8,8,8,8,4,4,4,4,23,1,1,0,0,0,0
14,1007,2,-9,-9,1.0,2,2,2,7,7,7,7,7,7,7,7,7,4,4,4,4,20,1,1,0,0,0,0
15,1008,1,-9,892,246.6946720424665,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,37,1,1,3,3,3,3
16,1008,2,-9,26001,85.34771266150031,3,3,3,0,0,0,0,0,0,0,0,0,4,4,4,4,36,2,2,0,0,0,0
17,1008,3,-9,-9,1.0,3,3,3,0,0,0,0,0,0,0,0,0,4,4,4,4,1,2,2,0,0,0,0
18,1009,1,-9,835,213.4262375511941,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,32,1,1,3,3,3,3
19,1009,2,-9,-9,63.258300649292366,3,3,3,0,0,0,0,0,0,0,0,0,4,4,4,4,28,2,2,0,0,0,0
20,1009,3,-9,-9,1.0,3,3,3,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,1,0,0,0,0
21,1010,1,-9,-9,59.82712631860321,3,3,3,0,0,0,0,0,0,0,0,0,4,4,4,4,35,2,2,0,0,0,0
22,1010,2,-9,-9,1.0,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,6,1,1,0,0,0,0
23,1010,3,-9,-9,1.0,3,3,3,0,0,0,0,0,0,0,0,0,4,4,4,4,60,2,2,0,0,0,0
24,1010,4,-9,0,85.11027124474252,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,55,1,1,1,1,1,1
25,1011,1,-9,-9,63.258300649292366,3,3,3,0,0,0,0,0,0,0,0,0,4,4,4,4,26,2,2,0,0,0,0
