vehicle_id,has_labourer,household_id,vehicle_num,vehtype,vehtype_other,veh_ownership,veh_ownership_other,interviewer_id,interviewer_company,interview_date,interview_time
1,False,1126,2,1,,1,,i4017,i4,2014-05-03,01:48:00
2,False,1127,1,1,,1,,i4009,i4,2014-05-03,17:18:00
3,False,1130,1,1,,1,,i4009,i4,2014-05-03,20:12:00
4,False,1131,1,1,,1,,i4011,i4,2014-05-03,17:50:00
5,False,1132,1,1,,1,,i4011,i4,2014-05-03,18:05:00
6,False,1135,1,1,,1,,i4011,i4,2014-05-03,20:08:00
7,False,1141,1,1,,1,,i4008,i4,2014-05-03,18:35:00
8,False,1142,1,1,,1,,i4005,i4,2014-05-03,18:59:00
9,False,1142,2,1,,1,,i4005,i4,2014-05-03,18:59:00
10,False,1143,1,1,,1,,i4005,i4,2014-05-03,19:25:00
11,False,1144,1,1,,1,,i4005,i4,2014-05-03,19:51:00
12,False,1145,1,1,,3,,i4005,i4,2014-05-03,20:13:00
13,False,1146,1,1,,1,,i4005,i4,2014-05-03,20:29:00
14,False,1147,1,1,,1,,i4018,i4,2014-05-03,18:53:00
15,False,1148,1,1,,1,,i4018,i4,2014-05-03,19:26:00
16,False,1149,1,1,,1,,i4018,i4,2014-05-03,19:45:00
17,False,1151,1,1,,1,,i4018,i4,2014-05-03,20:49:00
18,False,1151,2,1,,1,,i4018,i4,2014-05-03,20:49:00
19,False,1154,1,1,,1,,i4014,i4,2014-05-05,17:42:00
20,False,1154,2,1,,1,,i4014,i4,2014-05-05,17:42:00
21,False,1155,1,1,,1,,i4004,i4,2014-05-05,18:08:00
22,False,1155,2,1,,1,,i4004,i4,2014-05-05,18:08:00
23,False,1155,3,1,,2,,i4004,i4,2014-05-05,18:08:00
24,False,1155,4,1,,2,,i4004,i4,2014-05-05,18:08:00
25,False,1156,1,1,,1,,i4004,i4,2014-05-05,18:37:00
26,False,1157,1,1,,1,,i4004,i4,2014-05-05,19:47:00
27,False,1157,2,1,,1,,i4004,i4,2014-05-05,19:47:00
28,False,1158,1,1,,1,,i4004,i4,2014-05-05,20:02:00
29,False,1158,2,1,,1,,i4004,i4,2014-05-05,20:02:00
30,False,1158,3,1,,1,,i4004,i4,2014-05-05,20:04:00
31,False,1159,1,1,,1,,i4009,i4,2014-05-05,17:20:00
32,False,1159,2,1,,1,,i4009,i4,2014-05-05,17:20:00
33,False,1161,1,1,,1,,i4009,i4,2014-05-05,18:18:00
34,False,1161,2,1,,1,,i4009,i4,2014-05-05,18:18:00
35,False,1162,1,1,,1,,i4009,i4,2014-05-05,18:37:00
36,False,1162,2,1,,3,,i4009,i4,2014-05-05,18:37:00
37,False,1163,1,1,,1,,i4009,i4,2014-05-05,19:13:00
38,False,1716,1,1,,1,,i4008,i4,2014-05-21,20:51:00
39,False,1716,2,1,,1,,i4008,i4,2014-05-21,20:51:00
40,False,1720,1,1,,1,,i4025,i4,2014-05-21,21:07:00
41,False,1720,2,1,,1,,i4025,i4,2014-05-21,21:07:00
42,False,1721,1,1,,1,,i4010,i4,2014-05-21,20:58:00
43,False,1721,2,1,,1,,i4010,i4,2014-05-21,20:58:00
44,False,1723,1,1,,1,,i4021,i4,2014-05-21,19:33:00
45,False,1723,2,1,,1,,i4021,i4,2014-05-21,19:33:00
46,False,1001,1,1,,1,,i4005,i4,2014-04-23,18:21:00
47,False,1001,2,1,,1,,i4005,i4,2014-04-23,18:22:00
48,False,1003,1,1,,1,,i4012,i4,2014-04-23,20:03:00
49,False,1004,1,1,,1,,i4012,i4,2014-04-23,20:30:00
50,False,1005,1,1,,1,,i4013,i4,2014-04-23,19:10:00
51,False,1005,2,1,,1,,i4013,i4,2014-04-23,19:11:00
52,False,1008,1,1,,1,,i4016,i4,2014-04-23,18:45:00
53,False,1008,2,1,,1,,i4016,i4,2014-04-23,18:45:00
54,False,1009,1,1,,1,,i4016,i4,2014-04-23,20:05:00
55,False,1010,1,1,,1,,i4019,i4,2014-04-23,17:21:00
56,False,1010,2,1,,1,,i4019,i4,2014-04-23,17:21:00
57,False,1010,3,1,,1,,i4019,i4,2014-04-23,17:21:00
58,False,1011,1,1,,3,,i4019,i4,2014-04-23,20:08:00
59,False,1012,1,1,,1,,i4016,i4,2014-05-01,12:22:00
60,False,1012,2,1,,1,,i4016,i4,2014-05-01,12:23:00
61,False,1012,3,1,,1,,i4016,i4,2014-05-01,13:27:00
62,False,1012,4,1,,1,,i4016,i4,2014-05-01,13:27:00
63,False,1012,5,1,,1,,i4016,i4,2014-05-01,13:28:00
64,False,1012,6,1,,1,,i4016,i4,2014-05-01,13:28:00
65,False,1012,7,1,,1,,i4016,i4,2014-05-01,17:40:00
66,False,1012,8,1,,1,,i4016,i4,2014-05-01,17:40:00
67,False,1012,9,1,,1,,i4016,i4,2014-05-01,17:41:00
68,False,1013,1,1,,1,,i4001,i4,2014-05-01,17:44:00
69,False,1031,2,1,,1,,i4016,i4,2014-05-01,19:27:00
70,False,1031,3,1,,1,,i4016,i4,2014-05-01,19:38:00
71,False,1032,1,1,,1,,i4016,i4,2014-05-01,19:39:00
72,False,1032,2,1,,1,,i4016,i4,2014-05-01,19:39:00
73,False,1032,3,1,,1,,i4016,i4,2014-05-01,19:42:00
74,False,1033,1,1,,1,,i4016,i4,2014-05-01,19:42:00
