person_id,is_labourer,household_id,person_num,relationship,relationship_other,nationality,nationality_other,gender,age,occ,occ_other,occ_sector,occ_sector_other,occ_level,occ_level_other,nol,license,auto_availability,interviewer_id,interviewer_company,interview_date,interview_time,code_hp
1,False,1001,1,1,,3,,1,37,1,,5,,1,,1,1,1,i4005,i4,2014-04-23,18:23:00,100101
2,False,1001,2,6,,3,,2,31,1,,5,,1,,1,1,1,i4005,i4,2014-04-23,18:24:00,100102
3,False,1001,3,7,,1,,1,31,1,,4,,1,,2,1,1,i4005,i4,2014-04-23,18:26:00,100103
4,False,1003,1,1,,3,,1,30,1,,3,,2,,2,1,1,i4012,i4,2014-04-23,20:04:00,100301
5,False,1003,2,2,,3,,2,28,7,,<NA>,,<NA>,,1,1,2,i4012,i4,2014-04-23,20:05:00,100302
6,False,1003,3,4,,3,,2,1,9,,<NA>,,<NA>,,2,2,3,i4012,i4,2014-04-23,20:06:00,100303
7,False,1004,1,1,,6,Nigera,1,20,3,,<NA>,,<NA>,,1,2,4,i4012,i4,2014-04-23,20:31:00,100401
8,False,1004,2,6,,6,Nigera,1,20,3,,<NA>,,<NA>,,1,2,4,i4012,i4,2014-04-23,20:32:00,100402
9,False,1004,3,10,Friend,6,Nigera,1,20,3,,<NA>,,<NA>,,1,1,1,i4012,i4,2014-04-23,20:33:00,100403
10,False,1004,4,10,Friend,6,Nigera,1,20,3,,<NA>,,<NA>,,1,2,4,i4012,i4,2014-04-23,20:34:00,100404
11,False,1004,5,10,Friend,6,,1,19,3,,<NA>,,<NA>,,1,2,4,i4012,i4,2014-04-23,20:35:00,100405
12,False,1004,6,10,Friend,6,Nigera,1,21,3,,<NA>,,<NA>,,1,2,4,i4012,i4,2014-04-23,20:36:00,100406
13,False,1007,1,1,,6,Nigeria,1,23,3,,<NA>,,<NA>,,1,2,4,i4016,i4,2014-04-23,18:12:00,100701
14,False,1007,2,6,,6,Nigeria,1,20,3,,<NA>,,<NA>,,1,2,4,i4016,i4,2014-04-23,18:13:00,100702
15,False,1008,1,1,,4,,1,37,1,,4,,1,,1,1,1,i4016,i4,2014-04-23,18:46:00,100801
16,False,1008,2,2,,4,,2,36,7,,<NA>,,<NA>,,1,2,3,i4016,i4,2014-04-23,18:46:00,100802
17,False,1008,3,4,,4,,2,1,9,,<NA>,,<NA>,,2,2,3,i4016,i4,2014-04-23,18:47:00,100803
18,False,1009,1,1,,4,Serbia,1,32,1,,2,,1,,2,1,1,i4016,i4,2014-04-23,20:06:00,100901
19,False,1009,2,2,,4,Serbia,2,28,7,,<NA>,,<NA>,,1,1,2,i4016,i4,2014-04-23,20:07:00,100902
20,False,1009,3,4,,4,Serbia,1,1,9,Baby,<NA>,,<NA>,,2,2,4,i4016,i4,2014-04-23,20:08:00,100903
21,False,1010,1,2,,5,,2,35,7,,<NA>,,<NA>,,2,1,1,i4019,i4,2014-04-23,17:23:00,101001
22,False,1010,2,7,,5,,1,6,5,,<NA>,,<NA>,,<NA>,2,3,i4019,i4,2014-04-23,17:25:00,101002
23,False,1010,3,7,,5,,2,60,7,,<NA>,,<NA>,,2,2,3,i4019,i4,2014-04-23,17:26:00,101003
24,False,1010,4,1,,5,,1,55,1,,3,,1,,2,1,1,i4019,i4,2014-04-23,17:28:00,101004
25,False,1011,1,2,,3,,2,26,7,,<NA>,,<NA>,,1,1,2,i4019,i4,2014-04-23,20:09:00,101101
26,False,1011,2,1,,3,,1,33,1,,4,,1,,1,1,2,i4019,i4,2014-04-23,20:10:00,101102
27,False,1011,3,4,,3,,2,1,9,Infant,<NA>,,<NA>,,2,2,3,i4019,i4,2014-04-23,20:12:00,101103
28,False,1012,1,1,,1,,1,52,1,,7,OWN BUSINESS ,5,OWN BUSINESS,2,1,1,i4016,i4,2014-05-01,18:02:00,101201
