vehicle_id,has_labourer,household_id,vehicle_num,vehtype,vehtype_other,veh_ownership,veh_ownership_other,interviewer_id,interviewer_company,interview_date,interview_time,person_id,wt
1,0.0,1126,2.0,1,,1,,i4017,i4,2014-05-03,01:48:00,112601,1
2,0.0,1127,1.0,1,,1,,i4009,i4,2014-05-03,17:18:00,112701,1
3,0.0,1130,1.0,1,,1,,i4009,i4,2014-05-03,20:12:00,113001,1
4,0.0,1131,1.0,1,,1,,i4011,i4,2014-05-03,17:50:00,113101,1
5,0.0,1132,1.0,1,,1,,i4011,i4,2014-05-03,18:05:00,113201,1
6,0.0,1135,1.0,1,,1,,i4011,i4,2014-05-03,20:08:00,113501,1
7,0.0,1141,1.0,1,,1,,i4008,i4,2014-05-03,18:35:00,114101,1
8,0.0,1142,1.0,1,,1,,i4005,i4,2014-05-03,18:59:00,114201,1
9,0.0,1142,2.0,1,,1,,i4005,i4,2014-05-03,18:59:00,114201,1
10,0.0,1143,1.0,1,,1,,i4005,i4,2014-05-03,19:25:00,114301,1
11,0.0,1144,1.0,1,,1,,i4005,i4,2014-05-03,19:51:00,114401,1
12,0.0,1145,1.0,1,,3,,i4005,i4,2014-05-03,20:13:00,114503,1
13,0.0,1146,1.0,1,,1,,i4005,i4,2014-05-03,20:29:00,114601,1
14,0.0,1147,1.0,1,,1,,i4018,i4,2014-05-03,18:53:00,114701,1
15,0.0,1148,1.0,1,,1,,i4018,i4,2014-05-03,19:26:00,114801,1
16,0.0,1149,1.0,1,,1,,i4018,i4,2014-05-03,19:45:00,114901,1
17,0.0,1151,1.0,1,,1,,i4018,i4,2014-05-03,20:49:00,115101,1
18,0.0,1151,2.0,1,,1,,i4018,i4,2014-05-03,20:49:00,115101,1
19,0.0,1154,1.0,1,,1,,i4014,i4,2014-05-05,17:42:00,115401,1
20,0.0,1154,2.0,1,,1,,i4014,i4,2014-05-05,17:42:00,115401,1
21,0.0,1155,1.0,1,,1,,i4004,i4,2014-05-05,18:08:00,115501,1
22,0.0,1155,2.0,1,,1,,i4004,i4,2014-05-05,18:08:00,115501,1
23,0.0,1155,3.0,1,,2,,i4004,i4,2014-05-05,18:08:00,115502,1
24,0.0,1155,4.0,1,,2,,i4004,i4,2014-05-05,18:08:00,115502,1
25,0.0,1156,1.0,1,,1,,i4004,i4,2014-05-05,18:37:00,115601,1
26,0.0,1157,1.0,1,,1,,i4004,i4,2014-05-05,19:47:00,115701,1
27,0.0,1157,2.0,1,,1,,i4004,i4,2014-05-05,19:47:00,115701,1
28,0.0,1158,1.0,1,,1,,i4004,i4,2014-05-05,20:02:00,115801,1
29,0.0,1158,2.0,1,,1,,i4004,i4,2014-05-05,20:02:00,115801,1
30,0.0,1158,3.0,1,,1,,i4004,i4,2014-05-05,20:04:00,115801,1
31,0.0,1159,1.0,1,,1,,i4009,i4,2014-05-05,17:20:00,115901,1
32,0.0,1159,2.0,1,,1,,i4009,i4,2014-05-05,17:20:00,115901,1
33,0.0,1161,1.0,1,,1,,i4009,i4,2014-05-05,18:18:00,116101,1
34,0.0,1161,2.0,1,,1,,i4009,i4,2014-05-05,18:18:00,116101,1
35,0.0,1162,1.0,1,,1,,i4009,i4,2014-05-05,18:37:00,116201,1
36,0.0,1162,2.0,1,,3,,i4009,i4,2014-05-05,18:37:00,116203,1
37,0.0,1163,1.0,1,,1,,i4009,i4,2014-05-05,19:13:00,116301,1
38,0.0,1716,1.0,1,,1,,i4008,i4,2014-05-21,20:51:00,171601,1
39,0.0,1716,2.0,1,,1,,i4008,i4,2014-05-21,20:51:00,171601,1
40,0.0,1720,1.0,1,,1,,i4025,i4,2014-05-21,21:07:00,172001,1
41,0.0,1720,2.0,1,,1,,i4025,i4,2014-05-21,21:07:00,172001,1
42,0.0,1721,1.0,1,,1,,i4010,i4,2014-05-21,20:58:00,172101,1
43,0.0,1721,2.0,1,,1,,i4010,i4,2014-05-21,20:58:00,172101,1
44,0.0,1723,1.0,1,,1,,i4021,i4,2014-05-21,19:33:00,172301,1
45,0.0,1723,2.0,1,,1,,i4021,i4,2014-05-21,19:33:00,172301,1
46,0.0,1001,1.0,1,,1,,i4005,i4,2014-04-23,18:21:00,100101,1
47,0.0,1001,2.0,1,,1,,i4005,i4,2014-04-23,18:22:00,100101,1
48,0.0,1003,1.0,1,,1,,i4012,i4,2014-04-23,20:03:00,100301,1
49,0.0,1004,1.0,1,,1,,i4012,i4,2014-04-23,20:30:00,100401,1
50,0.0,1005,1.0,1,,1,,i4013,i4,2014-04-23,19:10:00,100501,1
51,0.0,1005,2.0,1,,1,,i4013,i4,2014-04-23,19:11:00,100501,1
