person_id,is_labourer,household_id,person_num,relationship,relationship_other,nationality,nationality_other,gender,age,occ,occ_other,occ_sector,occ_sector_other,occ_level,occ_level_other,nol,license,auto_availability,interviewer_id,interviewer_company,interview_date,interview_time,wt
100101,0,1001,1.0,1,,3,,1,37.0,1,,5,,1,,1,1,1,i4005,i4,2014-04-23,18:23:00,1
100102,0,1001,2.0,6,,3,,2,31.0,1,,5,,1,,1,1,1,i4005,i4,2014-04-23,18:24:00,1
100103,0,1001,3.0,7,,1,,1,31.0,1,,4,,1,,2,1,1,i4005,i4,2014-04-23,18:26:00,1
100301,0,1003,1.0,1,,3,,1,30.0,1,,3,,2,,2,1,1,i4012,i4,2014-04-23,20:04:00,1
100302,0,1003,2.0,2,,3,,2,28.0,7,,-999,,-999,,1,1,2,i4012,i4,2014-04-23,20:05:00,1
100303,0,1003,3.0,4,,3,,2,1.0,9,,-999,,-999,,2,2,3,i4012,i4,2014-04-23,20:06:00,1
100401,0,1004,1.0,1,,6,Nigera,1,20.0,3,,-999,,-999,,1,2,4,i4012,i4,2014-04-23,20:31:00,1
100402,0,1004,2.0,6,,6,Nigera,1,20.0,3,,-999,,-999,,1,2,4,i4012,i4,2014-04-23,20:32:00,1
100403,0,1004,3.0,10,Friend,6,Nigera,1,20.0,3,,-999,,-999,,1,1,1,i4012,i4,2014-04-23,20:33:00,1
100404,0,1004,4.0,10,Friend,6,Nigera,1,20.0,3,,-999,,-999,,1,2,4,i4012,i4,2014-04-23,20:34:00,1
100405,0,1004,5.0,10,Friend,6,,1,19.0,3,,-999,,-999,,1,2,4,i4012,i4,2014-04-23,20:35:00,1
100406,0,1004,6.0,10,Friend,6,Nigera,1,21.0,3,,-999,,-999,,1,2,4,i4012,i4,2014-04-23,20:36:00,1
100701,0,1007,1.0,1,,6,Nigeria,1,23.0,3,,-999,,-999,,1,2,4,i4016,i4,2014-04-23,18:12:00,1
100702,0,1007,2.0,6,,6,Nigeria,1,20.0,3,,-999,,-999,,1,2,4,i4016,i4,2014-04-23,18:13:00,1
100801,0,1008,1.0,1,,4,,1,37.0,1,,4,,1,,1,1,1,i4016,i4,2014-04-23,18:46:00,1
100802,0,1008,2.0,2,,4,,2,36.0,7,,-999,,-999,,1,2,3,i4016,i4,2014-04-23,18:46:00,1
100803,0,1008,3.0,4,,4,,2,1.0,9,,-999,,-999,,2,2,3,i4016,i4,2014-04-23,18:47:00,1
100901,0,1009,1.0,1,,4,Serbia,1,32.0,1,,2,,1,,2,1,1,i4016,i4,2014-04-23,20:06:00,1
100902,0,1009,2.0,2,,4,Serbia,2,28.0,7,,-999,,-999,,1,1,2,i4016,i4,2014-04-23,20:07:00,1
100903,0,1009,3.0,4,,4,Serbia,1,1.0,9,Baby,-999,,-999,,2,2,4,i4016,i4,2014-04-23,20:08:00,1
101001,0,1010,1.0,2,,5,,2,35.0,7,,-999,,-999,,2,1,1,i4019,i4,2014-04-23,17:23:00,1
101002,0,1010,2.0,7,,5,,1,6.0,5,,-999,,-999,,-999,2,3,i4019,i4,2014-04-23,17:25:00,1
101003,0,1010,3.0,7,,5,,2,60.0,7,,-999,,-999,,2,2,3,i4019,i4,2014-04-23,17:26:00,1
101004,0,1010,4.0,1,,5,,1,55.0,1,,3,,1,,2,1,1,i4019,i4,2014-04-23,17:28:00,1
