trip_hhcompanions_pnum_id,trip_id,trip_hhcompanions_pnum,household_id
0,143,3,5004
1,143,4,5004
2,144,3,5004
3,144,4,5004
4,145,2,5004
5,146,2,5004
6,147,2,5004
7,263,1,5004
8,264,1,5004
9,267,1,5004
10,267,4,5004
11,268,1,5004
12,268,4,5004
13,269,1,5004
14,269,3,5004
15,270,1,5004
16,270,3,5004
17,476,4,3940
18,477,7,3940
19,489,4,4653
20,490,4,4653
21,491,3,4653
22,492,3,4653
23,503,4,4372
24,504,4,4372
25,505,3,4372
26,506,3,4372
27,523,4,4553
28,523,5,4553
29,524,4,4553
30,524,5,4553
31,527,5,4553
32,530,5,4553
33,531,3,4553
34,531,5,4553
35,532,3,4553
36,532,5,4553
37,533,4,4553
38,534,4,4553
39,535,3,4553
40,535,4,4553
41,536,3,4553
42,536,4,4553
43,537,4,4554
44,544,4,4554
45,552,1,4554
46,553,2,4554
47,574,2,3587
48,577,1,3587
49,597,3,4251
50,597,4,4251
51,600,3,4251
52,600,4,4251
53,601,2,4251
54,601,4,4251
55,602,2,4251
56,602,4,4251
57,603,2,4251
58,603,3,4251
59,604,2,4251
60,604,3,4251
61,605,2,4252
62,605,3,4252
63,605,4,4252
64,606,2,4252
65,606,3,4252
66,606,4,4252
67,607,1,4252
68,607,3,4252
69,607,4,4252
70,608,1,4252
71,608,3,4252
72,608,4,4252
73,609,1,4252
74,609,2,4252
75,609,4,4252
76,610,1,4252
77,610,2,4252
78,610,4,4252
79,611,1,4252
80,611,2,4252
81,611,3,4252
82,612,1,4252
83,612,2,4252
84,612,3,4252
85,613,6,4252
86,616,6,4252
87,617,5,4252
88,618,5,4252
89,631,3,4253
90,631,4,4253
91,631,5,4253
92,631,6,4253
93,631,7,4253
94,632,3,4253
95,632,4,4253
96,632,5,4253
97,632,6,4253
98,632,7,4253
99,633,2,4253
100,633,4,4253
101,633,5,4253
102,633,6,4253
103,633,7,4253
104,634,2,4253
105,634,4,4253
106,634,5,4253
107,634,6,4253
108,634,7,4253
109,635,2,4253
110,635,3,4253
111,635,5,4253
112,635,6,4253
113,635,7,4253
114,636,2,4253
115,636,3,4253
116,636,5,4253
117,636,6,4253
118,636,7,4253
119,637,2,4253
120,637,3,4253
121,637,4,4253
122,637,6,4253
123,637,7,4253
124,638,2,4253
125,638,3,4253
126,638,4,4253
127,638,6,4253
128,638,7,4253
129,639,2,4253
130,639,3,4253
131,639,4,4253
132,639,5,4253
133,639,7,4253
134,641,2,4253
135,641,3,4253
136,641,4,4253
137,641,5,4253
138,641,7,4253
139,643,2,4253
140,643,3,4253
141,643,4,4253
142,643,5,4253
143,643,6,4253
144,645,2,4253
145,645,3,4253
146,645,4,4253
147,645,5,4253
148,645,6,4253
149,684,2,4931
150,684,3,4931
151,684,4,4931
152,685,3,4931
153,685,4,4931
154,686,4,4931
155,689,1,4931
156,689,3,4931
157,689,4,4931
158,691,1,4931
159,691,4,4931
160,693,1,4931
161,694,1,4931
162,705,2,4991
163,705,3,4991
164,712,2,4992
165,712,3,4992
166,713,2,4992
167,713,3,4992
168,714,1,4992
169,714,3,4992
170,715,1,4992
171,715,3,4992
172,716,2,4993
173,719,2,4993
174,720,1,4993
175,721,1,4993
176,724,2,4995
177,724,3,4995
178,724,4,4995
179,725,2,4995
180,725,3,4995
181,725,4,4995
182,726,1,4995
183,726,3,4995
184,726,4,4995
185,727,1,4995
186,727,3,4995
187,727,4,4995
188,728,1,4995
189,728,2,4995
190,728,4,4995
191,729,1,4995
192,729,2,4995
193,729,4,4995
194,730,2,4995
195,730,1,4995
196,730,3,4995
197,731,2,4995
198,731,1,4995
199,731,3,4995
200,732,2,5081
201,732,3,5081
202,732,4,5081
203,733,2,5081
204,734,1,5081
205,734,3,5081
206,734,4,5081
207,735,3,5081
208,735,4,5081
209,738,3,5081
210,738,4,5081
211,740,1,5081
212,741,2,5081
213,741,4,5081
214,742,2,5081
215,742,4,5081
216,743,2,5081
217,743,3,5081
