"TOURPURP_REC","TOURMODE","TRIPMODE","TRIPS"
9,11,5,12.52775
9,11,23,2506.65179698822
9,11,24,1485.67159
9,11,25,203.8547
9,11,26,483.4482
9,12,26,12826.4142009647
10,1,1,143500.920290129
10,1,4,7349.07251698822
10,1,5,96.55433
10,1,26,4510.97145397644
10,2,1,19963.8909654234
10,2,2,44731.0492459058
10,2,4,2359.70384
10,2,5,20.45167
10,2,26,9401.52503
10,3,1,10494.6443474706
10,3,2,33211.0465748233
10,3,3,20128.8312789175
10,3,4,688.0966
10,3,26,0
10,4,4,3690.56309
10,4,26,62.86595
10,5,4,1027.85527349411
10,5,5,2832.13687349411
10,6,1,515.54758
10,6,2,128.58712
10,6,3,3183.96841048233
10,6,4,14036.9955784352
10,6,5,112.95425
10,6,6,12466.1275644588
10,6,7,2511.08863698822
10,6,9,296.44314
10,6,26,0
10,7,1,37.91784
10,7,2,261.7762
10,7,4,198.46591
10,7,10,434.96355
10,7,11,12.63928
10,8,4,0
10,8,6,0
10,8,15,0
10,8,17,0
10,8,26,0
10,9,2,3045.64807048233
10,9,18,1015.21602349411
10,11,3,38.2149
10,11,4,106.77266
10,11,23,0
10,11,24,177.85251
10,11,25,38.2149
10,11,26,88.97415
10,12,26,770.11671
11,1,1,37237.6449268704
11,1,4,383.54952
11,1,26,0
11,2,1,119.8445
11,2,2,14075.5906919293
11,2,4,0
11,2,26,0
11,3,1,66.16146
11,3,2,21.96918
11,3,3,10773.962431447
11,3,4,1159.31775349411
11,4,4,17281.9730304823
11,4,26,29.76263
11,5,4,200.6808
11,5,5,1144.95767
11,5,26,0
11,6,1,40.25245
11,6,4,44.96448
11,6,5,127.14775
11,6,6,1645.70959349411
11,6,7,63.92688
11,6,9,85.03315
11,6,26,0
11,7,1,194.32549
11,7,2,156.40765
11,7,5,156.40765
11,7,10,325.45458
11,8,1,0
11,8,16,0
11,8,26,0
11,9,3,0
11,9,6,0
11,9,18,0
11,11,23,23.9999
11,12,26,286.70847
12,1,1,10136.9991569882
12,1,4,2351.21908
12,1,26,86.319
12,2,1,12.5915
12,2,2,3433.19804048233
12,2,4,230.42352
12,2,26,0
12,3,1,0
12,3,2,110.3658
12,3,3,312.94616
12,3,4,98.51316
12,3,5,0
12,3,26,0
12,4,4,4284.38381
12,4,26,1958.1134
12,5,4,177.05956
12,5,5,1656.68394
12,6,1,603.08305
12,6,2,702.08514
12,6,3,524.85445
12,6,4,5482.55492
12,6,6,7951.83041
12,6,7,1082.89284
12,6,9,795.15831
12,6,23,0
12,6,26,256.5634
12,7,1,363.67704
12,7,2,77.87748
12,7,3,75.2553
12,7,4,867.87079
12,7,6,177.40962
12,7,9,112.16949
12,7,10,556.74252
12,7,11,25.1719
12,7,12,161.96889
12,7,13,86.21033
12,7,17,0
12,9,2,50.1784
12,9,18,12.5446
12,12,26,1178.92947349411
14,1,1,179542.875374952
14,1,4,8015.53196048233
14,1,5,1400.9852
14,1,26,2399.54547
14,2,1,40354.4097638586
14,2,2,86727.9956081996
14,2,4,6403.90956048233
14,2,5,13.12168
14,2,26,134.84495
14,3,1,11380.5952279529
14,3,2,15821.0588089175
14,3,3,54042.2629478351
14,3,4,8619.34467445877
14,3,5,122.18835
14,3,26,315.71368
14,4,4,20004.9401144588
14,4,26,278.52308
14,5,4,208.9104
14,5,5,472.68242
14,6,1,2823.27743698822
14,6,2,168.5521
14,6,3,282.09746
14,6,4,1549.98102349411
14,6,5,244.3767
14,6,6,993.89799
14,6,7,739.77558
14,6,9,2711.98353698822
14,6,25,12.5607
14,6,26,1105.86664349411
14,7,1,81.48303
14,7,2,104.63081
14,7,3,31.31283
14,7,4,496.07864
14,7,5,140.81793
14,7,6,0
14,7,9,43.84058
14,7,10,388.99054
14,7,11,25.09153
14,7,17,107.94275
14,7,25,12.54898
14,7,26,107.94918
14,8,1,71.715
14,8,2,0
14,8,3,0
14,8,4,0
14,8,7,71.715
14,8,14,3058.68052048233
14,8,15,84.74745
14,8,17,114.5033
14,8,26,2349.83664698822
14,9,2,87.79785
14,9,3,0
14,9,4,139.03175
14,9,9,0
14,9,18,12.63925
14,9,21,25.0851
14,9,26,62.80945
14,11,1,384.02582
14,11,2,27.41248
14,11,3,0
14,11,4,140.11699
14,11,23,0
14,11,24,219.07089
14,11,25,57.82115
14,11,26,210.99773
14,12,26,435.36967
15,1,1,5436.27265
15,1,26,0
15,3,3,125.8735
15,3,4,50.3494
15,3,26,25.1747
15,4,4,63.19775
15,8,4,50.3494
15,8,17,25.1747
15,8,26,0
15,12,26,50.1702
