"TOURPURP_REC","TOURMODE","TRIPMODE","TRIPS"
1,1,1,821978.046774986
1,1,4,59367.4119868704
1,1,5,180.3623
1,1,26,8816.90735445877
1,2,1,123694.375730611
1,2,2,214911.895167128
1,2,4,17043.5344739764
1,2,5,37.58325
1,2,26,818.17508
1,3,1,42450.3445884352
1,3,2,11856.1019274706
1,3,3,65300.9765083174
1,3,4,6138.05273
1,3,5,25.1286
1,3,26,740.2569
1,4,4,23677.7143009647
1,4,26,12.54255
1,5,4,703.6658
1,5,5,8631.39567
1,5,26,185.66789
1,6,1,487.18953
1,6,2,1490.75592
1,6,3,1101.82649
1,6,4,4259.46284
1,6,5,29.85148
1,6,6,8883.2539
1,6,7,2899.20859
1,6,9,1865.60167
1,6,23,12.54255
1,6,24,25.0851
1,6,26,1337.6005
1,7,1,728.58629
1,7,2,476.38648
1,7,3,39.62514
1,7,4,505.19496
1,7,5,25.096
1,7,6,271.15093
1,7,7,0
1,7,9,457.4104
1,7,10,2130.21915
1,7,11,100.29302
1,7,12,320.55912
1,7,13,375.80868
1,7,19,22.8567
1,7,26,0
1,8,1,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,16,0
1,9,2,17.27433
1,9,4,295.5352
1,9,6,47.09326
1,9,9,295.5352
1,9,18,29.81893
1,9,19,58.45805
1,9,20,591.0704
1,9,23,12.74465
1,11,1,492.1577
1,11,2,463.14482
1,11,4,359.64295
1,11,23,449.06786
1,11,24,652.65429
1,11,25,0
1,11,26,120.74894
1,12,26,574.50784
2,1,1,48322.377674341
2,1,4,3724.47131698822
2,1,5,621.69905
2,1,26,0
2,2,1,1532.01369349411
2,2,2,12252.6635679529
2,2,4,4648.29029048233
2,2,26,226.88087
2,3,1,1157.57975349411
2,3,2,349.01387
2,3,3,30939.3308493999
2,3,4,0
2,3,26,0
2,4,4,1328.0325
2,5,4,141.2446
2,5,5,653.83525
2,6,1,48.66523
2,6,2,2107.46792349411
2,6,3,146.075
2,6,4,10418.9326134941
2,6,6,7234.19505349411
2,6,7,1908.77649
2,6,9,52.5546
2,6,24,56.24316
2,6,26,114.50236
2,7,1,0
2,7,4,885.94587
2,7,7,37.90713
2,7,10,636.25873
2,7,11,25.2301
2,7,13,30.72627
2,7,24,68.6334
2,9,2,90.72438
2,9,18,15.12073
2,11,1,69.452
2,11,4,104.178
2,11,23,69.452
2,11,24,104.178
6,1,1,709534.03709595
6,1,4,24123.9610374706
6,1,5,1434.26835
6,1,26,309.57626
6,2,1,140844.842842541
6,2,2,507698.335156186
6,2,4,29661.5025719293
6,2,5,460.67616
6,2,26,843.95636
6,3,1,78794.6274483174
6,3,2,67701.444215788
6,3,3,296090.000785563
6,3,4,17931.4367909647
6,3,26,231.39759
6,4,4,89748.4759848233
6,4,26,3241.44528698822
6,5,4,998.89797
6,5,5,9534.6514
6,5,26,0
6,6,1,1079.20026
6,6,2,2138.16115
6,6,3,249.78704
6,6,4,14447.9065934941
6,6,5,152.12957
6,6,6,19716.6551539764
6,6,7,3496.65782
6,6,9,3055.40196
6,6,23,66.0034
6,6,24,732.28425
6,6,26,7324.32841096466
6,7,1,244.72619
6,7,2,54.3446
6,7,3,0
6,7,4,756.30888
6,7,5,25.096
6,7,6,782.71091
6,7,7,359.98263
6,7,9,0
6,7,10,679.88075
6,7,11,37.78695
6,7,13,0
6,7,26,0
6,8,1,1015.21602349411
6,8,3,2030.43204698822
6,8,16,1015.21602349411
6,8,26,1015.21602349411
6,9,3,268.2756
6,9,4,86.319
6,9,7,268.2756
6,9,19,354.5946
6,11,1,72.83268
6,11,2,398.91796
6,11,3,45.8164
6,11,4,257.26706
6,11,5,16.5988
6,11,23,511.35097
6,11,24,294.74052
6,11,25,79.76816
6,11,26,473.64
6,12,26,2649.94708
9,1,1,764133.36294028
9,1,4,58260.2879333763
9,1,5,4374.3903
9,1,26,6636.87188397644
9,2,1,104547.111285788
9,2,2,412965.70953834
9,2,4,35067.3585189175
9,2,5,883.91711
9,2,26,2746.39225349411
9,3,1,60076.5492078351
9,3,2,40931.5844573528
9,3,3,246998.981567128
9,3,4,28563.4979589175
9,3,5,1173.77527
9,3,26,8831.27154747055
9,4,4,325715.91887327
9,4,26,3102.58355
9,5,4,1883.18774
9,5,5,20523.49658
9,5,26,25.0997
9,6,1,2228.69717
9,6,2,2106.72021349411
9,6,3,606.71239
9,6,4,13080.2416709647
9,6,5,12.65765
9,6,6,16075.5182649411
9,6,7,4369.38998
9,6,9,4057.87264349411
9,6,23,123.07898
9,6,24,12.54255
9,6,26,706.50393
9,7,1,1496.39619349411
9,7,2,3920.32052349411
9,7,3,145.7416
9,7,4,2344.80360349411
9,7,5,105.12514
9,7,6,149.26164
9,7,7,983.23571
9,7,9,387.08025
9,7,10,3201.42960698822
9,7,11,993.41051
9,7,12,194.19749
9,7,13,2309.37101698822
9,7,15,37.90713
9,7,18,0
9,7,19,22.8567
9,7,24,0
9,7,26,92.56096
9,8,1,0
9,8,4,3824.89383
9,8,14,159.97833
9,8,16,861.8201
9,8,17,610.81925
9,8,23,159.97833
9,9,2,0
9,9,4,77.22615
9,9,6,25.47678
9,9,7,0
9,9,9,51.2872
9,9,18,25.93895
9,9,19,0
9,9,20,51.12038
9,9,21,0
9,9,26,0
9,11,1,743.50316
9,11,2,1028.54237
9,11,3,275.50818
9,11,4,5351.56340397644
