"TOURPURP_REC","TOURMODE","TOURS"
1,1,305856.482999206
1,2,92915.8724831451
1,3,31135.8557691047
1,4,13151.0767730946
1,5,3952.37491
1,6,7885.4657
1,7,1761.75607
1,8,0
1,9,360.95548
1,11,904.85108
1,12,380.86561
2,1,13695.6921129155
2,2,5127.36674982093
2,3,12797.5155729155
2,4,626.7939
2,5,262.22225
2,6,5112.12833327364
2,7,380.42425
2,9,15.12073
2,11,104.178
6,1,260628.507842479
6,2,214504.403955574
6,3,132102.583809334
6,4,44322.0856191047
6,5,4663.90231
6,6,12361.4061432736
6,7,638.46727
6,8,1010.21257327364
6,9,354.5946
6,11,778.62178
6,12,1262.98368
9,1,286180.890343554
9,2,177984.736418081
9,3,109172.809936061
9,4,157847.270696419
9,5,9554.75379
9,6,10798.9582330946
9,7,4066.64760654729
9,8,1632.61768
9,9,77.05933
9,11,2713.27130327365
9,12,5621.82963982093
10,1,41789.8481954729
10,2,12356.5397130946
10,3,11676.7703694628
10,4,1951.65509
10,5,1624.27902327364
10,6,6731.62665636822
10,7,316.71473
10,8,0
10,9,1010.21257327364
10,11,120.86898
10,12,353.45948
11,1,22446.014145831
11,2,8532.28917291551
11,3,4890.61225309458
11,4,10474.5082065473
11,5,634.48192
11,6,1583.96126327364
11,7,169.04693
11,8,0
11,9,0
11,11,23.9999
11,12,163.76634
12,1,3789.98458327365
12,2,1263.31877327364
12,3,121.57406
12,4,2198.33852
12,5,847.83076
12,6,4966.60867
12,7,552.68117
12,9,12.5446
12,12,1140.35242327364
14,1,66703.2392445776
14,2,28330.3044991047
14,3,19008.0084292837
14,4,9241.13666982093
14,5,272.08112
14,6,1932.81949327364
14,7,338.43997
14,8,1124.71587327365
14,9,37.72435
14,11,229.59631
14,12,318.36454
15,1,843.15555
15,3,37.76205
15,4,12.63955
15,8,12.58735
15,12,50.1702
